Code commune,Nom commune,Pop_2020,COD_DEP,Seg_population
77154,Dammartin-sur-Tigeaux,1168,77,Petite population
77155,Dampmart,3517,77,Petite population
77156,Darvault,903,77,Petite population
77157,Dhuisy,317,77,Petite population
77158,Diant,199,77,Petite population
77159,Donnemarie-Dontilly,2760,77,Petite population
77161,Dormelles,797,77,Petite population
77162,Doue,1094,77,Petite population
77163,Douy-la-Ramée,374,77,Petite population
77164,Échouboulains,558,77,Petite population
77165,Les Écrennes,602,77,Petite population
77167,Égligny,320,77,Petite population
77168,Égreville,2151,77,Petite population
77169,Émerainville,7667,77,Petite population
77171,Esbly,6464,77,Petite population
77172,Esmans,891,77,Petite population
77173,Étrépilly,825,77,Petite population
77174,Everly,578,77,Petite population
77175,Évry-Grégy-sur-Yerre,3070,77,Petite population
77176,Faremoutiers,2991,77,Petite population
77177,Favières,1186,77,Petite population
77178,Faÿ-lès-Nemours,497,77,Petite population
77179,Féricy,601,77,Petite population
77180,Férolles-Attilly,1263,77,Petite population
77181,Ferrières-en-Brie,3796,77,Petite population
77182,La Ferté-Gaucher,4877,77,Petite population
77183,La Ferté-sous-Jouarre,9672,77,Petite population
77184,Flagy,610,77,Petite population
77185,Fleury-en-Bière,654,77,Petite population
77186,Fontainebleau,15903,77,Population moyenne
77187,Fontaine-Fourches,581,77,Petite population
77188,Fontaine-le-Port,992,77,Petite population
77190,Fontains,263,77,Petite population
77191,Fontenailles,1052,77,Petite population
77192,Fontenay-Trésigny,5756,77,Petite population
77193,Forfry,241,77,Petite population
77194,Forges,421,77,Petite population
77195,Fouju,583,77,Petite population
77196,Fresnes-sur-Marne,964,77,Petite population
77197,Frétoy,166,77,Petite population
77198,Fromont,241,77,Petite population
77199,Fublaines,1402,77,Petite population
77200,Garentreville,122,77,Petite population
77201,Gastins,688,77,Petite population
77202,La Genevraye,809,77,Petite population
77203,Germigny-l'Évêque,1336,77,Petite population
77204,Germigny-sous-Coulombs,209,77,Petite population
77205,Gesvres-le-Chapitre,147,77,Petite population
77206,Giremoutiers,183,77,Petite population
77207,Gironville,152,77,Petite population
77208,Gouaix,1361,77,Petite population
77209,Gouvernes,1188,77,Petite population
77210,La Grande-Paroisse,2886,77,Petite population
77211,Grandpuits-Bailly-Carrois,1015,77,Petite population
77212,Gravon,163,77,Petite population
77214,Gressy,807,77,Petite population
77215,Gretz-Armainvilliers,8459,77,Petite population
77216,Grez-sur-Loing,1421,77,Petite population
77217,Grisy-Suisnes,2521,77,Petite population
77218,Grisy-sur-Seine,107,77,Petite population
77219,Guérard,2641,77,Petite population
77220,Guercheville,265,77,Petite population
77221,Guermantes,1136,77,Petite population
77222,Guignes,4344,77,Petite population
77223,Gurcy-le-Châtel,564,77,Petite population
77224,Hautefeuille,253,77,Petite population
77225,La Haute-Maison,327,77,Petite population
77226,Héricy,2518,77,Petite population
77227,Hermé,615,77,Petite population
77228,Hondevilliers,257,77,Petite population
77229,La Houssaye-en-Brie,1646,77,Petite population
77230,Ichy,160,77,Petite population
77231,Isles-les-Meldeuses,819,77,Petite population
77232,Isles-lès-Villenoy,1145,77,Petite population
77233,Iverny,596,77,Petite population
77234,Jablines,702,77,Petite population
77235,Jaignes,317,77,Petite population
77236,Jaulnes,345,77,Petite population
77237,Jossigny,640,77,Petite population
77238,Jouarre,4345,77,Petite population
77239,Jouy-le-Châtel,1504,77,Petite population
77240,Jouy-sur-Morin,2212,77,Petite population
77241,Juilly,2018,77,Petite population
77242,Jutigny,532,77,Petite population
77243,Lagny-sur-Marne,21139,77,Population moyenne
77244,Larchant,697,77,Petite population
77245,Laval-en-Brie,403,77,Petite population
77246,Léchelle,583,77,Petite population
77247,Lescherolles,441,77,Petite population
77248,Lesches,776,77,Petite population
77249,Lésigny,7125,77,Petite population
77250,Leudon-en-Brie,163,77,Petite population
77251,Lieusaint,13804,77,Population moyenne
77252,Limoges-Fourches,564,77,Petite population
77253,Lissy,315,77,Petite population
77254,Liverdy-en-Brie,1295,77,Petite population
77255,Livry-sur-Seine,2207,77,Petite population
77256,Lizines,187,77,Petite population
77257,Lizy-sur-Ourcq,3529,77,Petite population
77258,Lognes,14388,77,Population moyenne
77259,Longperrier,2303,77,Petite population
77260,Longueville,1778,77,Petite population
77261,Lorrez-le-Bocage-Préaux,1208,77,Petite population
77262,Louan-Villegruis-Fontaine,497,77,Petite population
77263,Luisetaines,232,77,Petite population
77264,Lumigny-Nesles-Ormeaux,1512,77,Petite population
77265,Luzancy,1092,77,Petite population
77266,Machault,785,77,Petite population
77267,La Madeleine-sur-Loing,355,77,Petite population
77268,Magny-le-Hongre,9082,77,Petite population
77269,Maincy,1819,77,Petite population
77270,Maisoncelles-en-Brie,954,77,Petite population
77271,Maisoncelles-en-Gâtinais,137,77,Petite population
77272,Maison-Rouge,861,77,Petite population
77273,Marchémoret,594,77,Petite population
77274,Marcilly,449,77,Petite population
77275,Les Marêts,150,77,Petite population
77276,Mareuil-lès-Meaux,3306,77,Petite population
77277,Marles-en-Brie,1798,77,Petite population
77278,Marolles-en-Brie,415,77,Petite population
77279,Marolles-sur-Seine,1832,77,Petite population
77280,Mary-sur-Marne,1095,77,Petite population
77281,Mauperthuis,472,77,Petite population
77282,Mauregard,365,77,Petite population
77283,May-en-Multien,923,77,Petite population
77284,Meaux,55709,77,Grande population
77285,Le Mée-sur-Seine,20677,77,Population moyenne
77286,Meigneux,231,77,Petite population
77287,Meilleray,499,77,Petite population
77288,Melun,41609,77,Population moyenne
77289,Melz-sur-Seine,351,77,Petite population
77290,Méry-sur-Marne,684,77,Petite population
77291,Le Mesnil-Amelot,1041,77,Petite population
77292,Messy,1210,77,Petite population
77293,Misy-sur-Yonne,894,77,Petite population
77294,Mitry-Mory,20620,77,Population moyenne
77295,Moisenay,1379,77,Petite population
77296,Moissy-Cramayel,17982,77,Population moyenne
77297,Mondreville,327,77,Petite population
77298,Mons-en-Montois,445,77,Petite population
77300,Montceaux-lès-Meaux,601,77,Petite population
77301,Montceaux-lès-Provins,322,77,Petite population
77302,Montcourt-Fromonville,1943,77,Petite population
77303,Montdauphin,236,77,Petite population
77304,Montenils,25,77,Petite population
77305,Montereau-Fault-Yonne,21888,77,Population moyenne
77306,Montereau-sur-le-Jard,497,77,Petite population
77307,Montévrain,14017,77,Population moyenne
77308,Montgé-en-Goële,728,77,Petite population
77309,Monthyon,1751,77,Petite population
77310,Montigny-le-Guesdier,305,77,Petite population
77311,Montigny-Lencoup,1405,77,Petite population
77312,Montigny-sur-Loing,2640,77,Petite population
77313,Montmachoux,259,77,Petite population
77314,Montolivet,239,77,Petite population
77315,Montry,3740,77,Petite population
77316,Moret-Loing-et-Orvanne,12507,77,Population moyenne
77317,Mormant,5104,77,Petite population
77318,Mortcerf,1423,77,Petite population
77319,Mortery,142,77,Petite population
77320,Mouroux,5972,77,Petite population
77321,Mousseaux-lès-Bray,667,77,Petite population
77322,Moussy-le-Neuf,3212,77,Petite population
77323,Moussy-le-Vieux,1476,77,Petite population
77325,Mouy-sur-Seine,360,77,Petite population
77326,Nandy,6262,77,Petite population
77327,Nangis,8904,77,Petite population
77328,Nanteau-sur-Essonne,419,77,Petite population
77329,Nanteau-sur-Lunain,687,77,Petite population
77330,Nanteuil-lès-Meaux,6549,77,Petite population
77331,Nanteuil-sur-Marne,428,77,Petite population
77332,Nantouillet,293,77,Petite population
77333,Nemours,12966,77,Population moyenne
77335,Chauconin-Neufmontiers,3595,77,Petite population
77336,Neufmoutiers-en-Brie,1195,77,Petite population
77337,Noisiel,15750,77,Population moyenne
77338,Noisy-Rudignon,595,77,Petite population
77339,Noisy-sur-École,1829,77,Petite population
77340,Nonville,606,77,Petite population
77341,Noyen-sur-Seine,382,77,Petite population
77342,Obsonville,109,77,Petite population
77343,Ocquerre,386,77,Petite population
77344,Oissery,2448,77,Petite population
77345,Orly-sur-Morin,660,77,Petite population
77347,Les Ormes-sur-Voulzie,855,77,Petite population
77348,Ormesson,237,77,Petite population
77349,Othis,6737,77,Petite population
77350,Ozoir-la-Ferrière,20712,77,Population moyenne
77352,Ozouer-le-Voulgis,1951,77,Petite population
77353,Paley,444,77,Petite population
77354,Pamfou,951,77,Petite population
77355,Paroy,167,77,Petite population
77356,Passy-sur-Seine,45,77,Petite population
77357,Pécy,845,77,Petite population
77358,Penchard,1340,77,Petite population
77359,Perthes,2007,77,Petite population
77360,Pézarches,392,77,Petite population
77361,Pierre-Levée,461,77,Petite population
77363,Le Pin,1569,77,Petite population
77364,Le Plessis-aux-Bois,257,77,Petite population
77365,Le Plessis-Feu-Aussoux,624,77,Petite population
77366,Le Plessis-l'Évêque,289,77,Petite population
77367,Le Plessis-Placy,279,77,Petite population
77368,Poigny,508,77,Petite population
77369,Poincy,759,77,Petite population
77370,Poligny,783,77,Petite population
77371,Pommeuse,2990,77,Petite population
77372,Pomponne,4168,77,Petite population
77373,Pontault-Combault,37579,77,Population moyenne
77374,Pontcarré,2154,77,Petite population
77376,Précy-sur-Marne,797,77,Petite population
77377,Presles-en-Brie,2310,77,Petite population
77378,Pringy,3254,77,Petite population
77379,Provins,12115,77,Population moyenne
77380,Puisieux,321,77,Petite population
77381,Quiers,661,77,Petite population
77382,Quincy-Voisins,5443,77,Petite population
77383,Rampillon,828,77,Petite population
77384,Réau,1954,77,Petite population
77385,Rebais,2298,77,Petite population
77386,Recloses,607,77,Petite population
77387,Remauville,468,77,Petite population
77388,Reuil-en-Brie,822,77,Petite population
77389,La Rochette,3820,77,Petite population
77390,Roissy-en-Brie,22643,77,Population moyenne
77391,Rouilly,491,77,Petite population
77392,Rouvres,916,77,Petite population
77393,Rozay-en-Brie,2826,77,Petite population
77394,Rubelles,3095,77,Petite population
77395,Rumont,120,77,Petite population
77396,Rupéreux,100,77,Petite population
77397,Saâcy-sur-Marne,1859,77,Petite population
77398,Sablonnières,722,77,Petite population
77400,Saint-Augustin,1774,77,Petite population
77401,Sainte-Aulde,671,77,Petite population
77402,Saint-Barthélemy,339,77,Petite population
77403,Saint-Brice,808,77,Petite population
77404,Sainte-Colombe,1808,77,Petite population
77405,Saint-Cyr-sur-Morin,1955,77,Petite population
77406,Saint-Denis-lès-Rebais,1005,77,Petite population
77407,Saint-Fargeau-Ponthierry,14315,77,Population moyenne
77408,Saint-Fiacre,425,77,Petite population
77409,Saint-Germain-Laval,2769,77,Petite population
77410,Saint-Germain-Laxis,746,77,Petite population
77411,Saint-Germain-sous-Doue,560,77,Petite population
77412,Saint-Germain-sur-École,386,77,Petite population
77413,Saint-Germain-sur-Morin,3849,77,Petite population
77414,Saint-Hilliers,489,77,Petite population
77415,Saint-Jean-les-Deux-Jumeaux,1281,77,Petite population
77416,Saint-Just-en-Brie,247,77,Petite population
77417,Saint-Léger,254,77,Petite population
77418,Saint-Loup-de-Naud,871,77,Petite population
77419,Saint-Mammès,3404,77,Petite population
77420,Saint-Mard,3846,77,Petite population
77421,Saint-Mars-Vieux-Maisons,256,77,Petite population
77423,Saint-Martin-des-Champs,658,77,Petite population
77424,Saint-Martin-du-Boschet,274,77,Petite population
77425,Saint-Martin-en-Bière,730,77,Petite population
77426,Saint-Méry,332,77,Petite population
77427,Saint-Mesmes,608,77,Petite population
77428,Saint-Ouen-en-Brie,834,77,Petite population
77429,Saint-Ouen-sur-Morin,533,77,Petite population
77430,Saint-Pathus,6238,77,Petite population
77431,Saint-Pierre-lès-Nemours,5408,77,Petite population
77432,Saint-Rémy-la-Vanne,987,77,Petite population
77433,Beautheil-Saints,1992,77,Petite population
77434,Saint-Sauveur-lès-Bray,366,77,Petite population
77435,Saint-Sauveur-sur-École,1102,77,Petite population
77436,Saint-Siméon,905,77,Petite population
77437,Saint-Soupplets,3574,77,Petite population
77438,Saint-Thibault-des-Vignes,6304,77,Petite population
77439,Salins,1170,77,Petite population
77440,Sammeron,1138,77,Petite population
77441,Samois-sur-Seine,2024,77,Petite population
77442,Samoreau,2441,77,Petite population
77443,Sancy,390,77,Petite population
77444,Sancy-lès-Provins,324,77,Petite population
77445,Savigny-le-Temple,30169,77,Population moyenne
77446,Savins,598,77,Petite population
77447,Seine-Port,1835,77,Petite population
77448,Sept-Sorts,547,77,Petite population
77449,Serris,9699,77,Petite population
77450,Servon,3308,77,Petite population
77451,Signy-Signets,584,77,Petite population
77452,Sigy,66,77,Petite population
77453,Sivry-Courtry,1136,77,Petite population
77454,Sognolles-en-Montois,367,77,Petite population
77455,Soignolles-en-Brie,2038,77,Petite population
77456,Soisy-Bouy,823,77,Petite population
77457,Solers,1212,77,Petite population
77458,Souppes-sur-Loing,5253,77,Petite population
77459,Sourdun,1519,77,Petite population
77460,Tancrou,338,77,Petite population
77461,Thénisy,299,77,Petite population
77462,Thieux,893,77,Petite population
77463,Thomery,3419,77,Petite population
77464,Thorigny-sur-Marne,10427,77,Population moyenne
77465,Thoury-Férottes,646,77,Petite population
77466,Tigeaux,378,77,Petite population
77467,La Tombe,203,77,Petite population
77468,Torcy,22500,77,Population moyenne
77469,Touquin,1224,77,Petite population
77470,Tournan-en-Brie,8429,77,Petite population
77471,Tousson,349,77,Petite population
77472,La Trétoire,492,77,Petite population
77473,Treuzy-Levelay,404,77,Petite population
77474,Trilbardou,666,77,Petite population
77475,Trilport,5020,77,Petite population
77476,Trocy-en-Multien,230,77,Petite population
77477,Ury,855,77,Petite population
77478,Ussy-sur-Marne,1085,77,Petite population
77479,Vaires-sur-Marne,13340,77,Population moyenne
77480,Valence-en-Brie,1056,77,Petite population
77481,Vanvillé,188,77,Petite population
77482,Varennes-sur-Seine,3660,77,Petite population
77483,Varreddes,2077,77,Petite population
77484,Vaucourtois,284,77,Petite population
77485,Le Vaudoué,730,77,Petite population
77486,Vaudoy-en-Brie,893,77,Petite population
77487,Vaux-le-Pénil,11102,77,Population moyenne
77489,Vaux-sur-Lunain,237,77,Petite population
77490,Vendrest,689,77,Petite population
77492,Verdelot,641,77,Petite population
77493,Verneuil-l'Étang,3186,77,Petite population
77494,Vernou-la-Celle-sur-Seine,2630,77,Petite population
77495,Vert-Saint-Denis,8564,77,Petite population
