Geo Point,Geo Shape,OBJECTID,LIBELLE,CONNEX,LIGNE,Latitude,Longitude,arrondissement,commune
"48.760218772013005, 2.366468603793764","{""coordinates"": [2.366468603793764, 48.760218772013005], ""type"": ""Point""}",81,M.I.N. Porte de Thiais,Non,L14,48.760218772013005, 2.366468603793764,Banlieue,Chevilly-Larue
"48.935846135759355, 2.5353176671680857","{""coordinates"": [2.535317667168086, 48.935846135759355], ""type"": ""Point""}",85,Sevran - Livry,Interconnexion,L16,48.935846135759355, 2.5353176671680857,Banlieue,Sevran
"48.79304421721192, 2.3493659340590054","{""coordinates"": [2.349365934059005, 48.79304421721192], ""type"": ""Point""}",94,Villejuif Institut Gustave Roussy,Interconnexion,L15/L14,48.79304421721192, 2.3493659340590054,Banlieue,Villejuif
"48.72800470806761, 2.3622725574550376","{""coordinates"": [2.362272557455038, 48.72800470806761], ""type"": ""Point""}",95,Aéroport d'Orly,Interconnexion,L14/L18,48.72800470806761, 2.3622725574550376,Banlieue,Paray-Vieille-Poste
"48.84409144087838, 2.2171392692292695","{""coordinates"": [2.21713926922927, 48.84409144087838], ""type"": ""Point""}",100,Saint-Cloud,Interconnexion,L15,48.84409144087838, 2.2171392692292695,Banlieue,Saint-Cloud
"48.7469786999839, 2.372839696147124","{""coordinates"": [2.372839696147124, 48.7469786999839], ""type"": ""Point""}",103,Pont de Rungis,Interconnexion,L14,48.7469786999839, 2.372839696147124,Banlieue,Thiais
"48.735837511826965, 2.309800492984757","{""coordinates"": [2.309800492984757, 48.735837511826965], ""type"": ""Point""}",105,Antonypôle,Non,L18,48.735837511826965, 2.309800492984757,Banlieue,Antony
"48.94721528813682, 2.5255293623724344","{""coordinates"": [2.525529362372434, 48.94721528813682], ""type"": ""Point""}",107,Sevran - Beaudottes,Interconnexion,L16,48.94721528813682, 2.5255293623724344,Banlieue,Sevran
"48.82729138241333, 2.2304798779495556","{""coordinates"": [2.230479877949556, 48.82729138241333], ""type"": ""Point""}",112,Pont de Sèvres,Interconnexion,L15,48.82729138241333, 2.2304798779495556,Banlieue,Boulogne-Billancourt
"48.82398676954171, 2.526382835628156","{""coordinates"": [2.526382835628156, 48.82398676954171], ""type"": ""Point""}",116,Bry - Villiers - Champigny,Interconnexion,L15,48.82398676954171, 2.526382835628156,Banlieue,Villiers-sur-Marne
"48.795436378550264, 2.449882778338881","{""coordinates"": [2.449882778338881, 48.795436378550264], ""type"": ""Point""}",118,Créteil L'Echat,Interconnexion,L15,48.795436378550264, 2.449882778338881,Banlieue,Créteil
"48.78230195543742, 2.408832223768384","{""coordinates"": [2.408832223768384, 48.78230195543742], ""type"": ""Point""}",120,Les Ardoines,Interconnexion,L15,48.78230195543742, 2.408832223768384,Banlieue,Vitry-sur-Seine
"48.9072699343725, 2.326603154821042","{""coordinates"": [2.326603154821042, 48.9072699343725], ""type"": ""Point""}",123,Saint-Ouen RER,Interconnexion,L14,48.9072699343725, 2.326603154821042,Banlieue,Saint-Ouen-sur-Seine
"48.91287949077633, 2.3349716579991","{""coordinates"": [2.3349716579991, 48.91287949077633], ""type"": ""Point""}",125,Mairie de Saint-Ouen,Interconnexion,L14,48.91287949077633, 2.3349716579991,Banlieue,Saint-Ouen-sur-Seine
"48.90630869674522, 2.450070302107364","{""coordinates"": [2.450070302107364, 48.90630869674522], ""type"": ""Point""}",128,Bobigny Pablo Picasso,Interconnexion,L15,48.90630869674522, 2.450070302107364,Banlieue,Bobigny
"48.894976249177475, 2.3132160334339833","{""coordinates"": [2.313216033433983, 48.894976249177475], ""type"": ""Point""}",135,Porte de Clichy,Interconnexion,L14,48.894976249177475, 2.3132160334339833,17ème Ardt,Paris
