Gare,Coordonnées,Ligne,Nombre de stations (100m),Nombre de stations (200m),Nombre de stations (300m),Nombre de stations (400m)
Fontainebleau Avon,"48.41637703207025, 2.726661533081672",TRAIN R,,,,0.0
Gare de Lyon,"48.8437725759169, 2.373916469806498",RER D,0.0,,,
Gare de Lyon,"48.8437725759169, 2.373916469806498",RER D,,0.0,,
Gare de Lyon,"48.8437725759169, 2.373916469806498",RER D,,,3.0,
Gare de Lyon,"48.8437725759169, 2.373916469806498",RER D,,,,6.0
Houilles-Carrières-sur-Seine,"48.92037937299015, 2.1853533763028636",TRAIN J,0.0,,,
Houilles-Carrières-sur-Seine,"48.92037937299015, 2.1853533763028636",TRAIN J,,0.0,,
Houilles-Carrières-sur-Seine,"48.92037937299015, 2.1853533763028636",TRAIN J,,,0.0,
Houilles-Carrières-sur-Seine,"48.92037937299015, 2.1853533763028636",TRAIN J,,,,0.0
La Celle-Saint-Cloud,"48.84271995342031, 2.1381250587772946",TRAIN L,0.0,,,
La Celle-Saint-Cloud,"48.84271995342031, 2.1381250587772946",TRAIN L,,0.0,,
La Celle-Saint-Cloud,"48.84271995342031, 2.1381250587772946",TRAIN L,,,0.0,
La Celle-Saint-Cloud,"48.84271995342031, 2.1381250587772946",TRAIN L,,,,0.0
La Courneuve-Aubervilliers,"48.92435387872672, 2.386388291064693",RER B,0.0,,,
La Courneuve-Aubervilliers,"48.92435387872672, 2.386388291064693",RER B,,0.0,,
La Courneuve-Aubervilliers,"48.92435387872672, 2.386388291064693",RER B,,,0.0,
La Courneuve-Aubervilliers,"48.92435387872672, 2.386388291064693",RER B,,,,0.0
Maisons-Laffitte,"48.94550297097257, 2.145017437654258",RER A,0.0,,,
Maisons-Laffitte,"48.94550297097257, 2.145017437654258",RER A,,0.0,,
Maisons-Laffitte,"48.94550297097257, 2.145017437654258",RER A,,,0.0,
Maisons-Laffitte,"48.94550297097257, 2.145017437654258",RER A,,,,0.0
Mantes-la-Jolie,"48.98950250709662, 1.7030161341672225",TRAIN J,0.0,,,
Mantes-la-Jolie,"48.98950250709662, 1.7030161341672225",TRAIN J,,0.0,,
Mantes-la-Jolie,"48.98950250709662, 1.7030161341672225",TRAIN J,,,0.0,
Mantes-la-Jolie,"48.98950250709662, 1.7030161341672225",TRAIN J,,,,0.0
Marles-en-Brie,"48.734939295556416, 2.8689558300836873",TRAIN P,0.0,,,
Marles-en-Brie,"48.734939295556416, 2.8689558300836873",TRAIN P,,0.0,,
Marles-en-Brie,"48.734939295556416, 2.8689558300836873",TRAIN P,,,0.0,
Marles-en-Brie,"48.734939295556416, 2.8689558300836873",TRAIN P,,,,0.0
La Garenne-Colombes,"48.90963293219175, 2.239684117127616",TRAIN L,1.0,,,
La Garenne-Colombes,"48.90963293219175, 2.239684117127616",TRAIN L,,1.0,,
La Garenne-Colombes,"48.90963293219175, 2.239684117127616",TRAIN L,,,1.0,
La Garenne-Colombes,"48.90963293219175, 2.239684117127616",TRAIN L,,,,2.0
Laplace,"48.808296587696724, 2.3343543096396475",RER B,1.0,,,
Laplace,"48.808296587696724, 2.3343543096396475",RER B,,1.0,,
Laplace,"48.808296587696724, 2.3343543096396475",RER B,,,2.0,
Laplace,"48.808296587696724, 2.3343543096396475",RER B,,,,2.0
Le Vésinet-Le Pecq,"48.897973445402116, 2.122117447472966",RER A,0.0,,,
Le Vésinet-Le Pecq,"48.897973445402116, 2.122117447472966",RER A,,0.0,,
Le Vésinet-Le Pecq,"48.897973445402116, 2.122117447472966",RER A,,,0.0,
Le Vésinet-Le Pecq,"48.897973445402116, 2.122117447472966",RER A,,,,0.0
Les Boullereaux-Champigny,"48.824848568564235, 2.5118555534510065",RER E,0.0,,,
Les Boullereaux-Champigny,"48.824848568564235, 2.5118555534510065",RER E,,1.0,,
Les Boullereaux-Champigny,"48.824848568564235, 2.5118555534510065",RER E,,,1.0,
Les Boullereaux-Champigny,"48.824848568564235, 2.5118555534510065",RER E,,,,1.0
Les Clairières de Verneuil,"48.99261388070526, 1.9554792475346048",TRAIN J,0.0,,,
Les Clairières de Verneuil,"48.99261388070526, 1.9554792475346048",TRAIN J,,0.0,,
Les Clairières de Verneuil,"48.99261388070526, 1.9554792475346048",TRAIN J,,,0.0,
Les Clairières de Verneuil,"48.99261388070526, 1.9554792475346048",TRAIN J,,,,0.0
Les Saules,"48.745072165958895, 2.417520977896491",RER C,0.0,,,
Les Saules,"48.745072165958895, 2.417520977896491",RER C,,0.0,,
Les Saules,"48.745072165958895, 2.417520977896491",RER C,,,0.0,
Les Saules,"48.745072165958895, 2.417520977896491",RER C,,,,0.0
Longjumeau,"48.70223938596822, 2.2945577478546335",RER C,0.0,,,
Longjumeau,"48.70223938596822, 2.2945577478546335",RER C,,0.0,,
Longjumeau,"48.70223938596822, 2.2945577478546335",RER C,,,0.0,
Longjumeau,"48.70223938596822, 2.2945577478546335",RER C,,,,0.0
Longueville,"48.513754590039326, 3.250034982583049",TRAIN P,0.0,,,
Longueville,"48.513754590039326, 3.250034982583049",TRAIN P,,0.0,,
Longueville,"48.513754590039326, 3.250034982583049",TRAIN P,,,0.0,
Longueville,"48.513754590039326, 3.250034982583049",TRAIN P,,,,0.0
Nogent-le-Perreux,"48.839341938245695, 2.494188055346114",RER E,0.0,,,
Nogent-le-Perreux,"48.839341938245695, 2.494188055346114",RER E,,1.0,,
Nogent-le-Perreux,"48.839341938245695, 2.494188055346114",RER E,,,1.0,
Nogent-le-Perreux,"48.839341938245695, 2.494188055346114",RER E,,,,1.0
Petit-Jouy-les-Loges,"48.77163431277776, 2.146972741512856",RER C,0.0,,,
Petit-Jouy-les-Loges,"48.77163431277776, 2.146972741512856",RER C,,0.0,,
Petit-Jouy-les-Loges,"48.77163431277776, 2.146972741512856",RER C,,,0.0,
