Geo Point,Geo Shape,gares_id,nom_long,id_ref_ZdA,nom_ZdA,res_com,mode_,Latitude,Longitude,arrondissement,commune
"48.98950250709662, 1.7030161341672225","{""coordinates"": [1.703016134167223, 48.98950250709662], ""type"": ""Point""}",507,Mantes-la-Jolie,43157,Mantes-la-Jolie,TRAIN J,TRAIN,48.98950250709662, 1.7030161341672225,Banlieue,Mantes-la-Jolie
"48.734939295556416, 2.8689558300836873","{""coordinates"": [2.868955830083687, 48.734939295556416], ""type"": ""Point""}",516,Marles-en-Brie,43247,Marles-en-Brie,TRAIN P,TRAIN,48.734939295556416, 2.8689558300836873,Banlieue,La Houssaye-en-Brie
"48.90963293219175, 2.239684117127616","{""coordinates"": [2.239684117127616, 48.90963293219175], ""type"": ""Point""}",399,La Garenne-Colombes,47412,La Garenne-Colombes,TRAIN L,TRAIN,48.90963293219175, 2.239684117127616,Banlieue,Colombes
"48.808296587696724, 2.3343543096396475","{""coordinates"": [2.334354309639648, 48.808296587696724], ""type"": ""Point""}",403,Laplace,43607,Laplace,RER B,RER,48.808296587696724, 2.3343543096396475,Banlieue,Arcueil
"48.897973445402116, 2.122117447472966","{""coordinates"": [2.122117447472966, 48.897973445402116], ""type"": ""Point""}",439,Le Vésinet-Le Pecq,43237,Le Vésinet - Le Pecq,RER A,RER,48.897973445402116, 2.122117447472966,Banlieue,Le Vésinet
"48.824848568564235, 2.5118555534510065","{""coordinates"": [2.511855553451007, 48.824848568564235], ""type"": ""Point""}",446,Les Boullereaux-Champigny,58267,Les Boullereaux Champigny,RER E,RER,48.824848568564235, 2.5118555534510065,Banlieue,Champigny-sur-Marne
"48.99261388070526, 1.9554792475346048","{""coordinates"": [1.955479247534605, 48.99261388070526], ""type"": ""Point""}",448,Les Clairières de Verneuil,54249,Les Clairières de Verneuil,TRAIN J,TRAIN,48.99261388070526, 1.9554792475346048,Banlieue,Verneuil-sur-Seine
"48.745072165958895, 2.417520977896491","{""coordinates"": [2.417520977896491, 48.745072165958895], ""type"": ""Point""}",454,Les Saules,46298,Les Saules,RER C,RER,48.745072165958895, 2.417520977896491,Banlieue,Orly
"48.70223938596822, 2.2945577478546335","{""coordinates"": [2.294557747854634, 48.70223938596822], ""type"": ""Point""}",474,Longjumeau,47059,Longjumeau,RER C,RER,48.70223938596822, 2.2945577478546335,Banlieue,Longjumeau
"48.513754590039326, 3.250034982583049","{""coordinates"": [3.250034982583049, 48.513754590039326], ""type"": ""Point""}",475,Longueville,47914,Longueville,TRAIN P,TRAIN,48.513754590039326, 3.250034982583049,Banlieue,Longueville
"48.839341938245695, 2.494188055346114","{""coordinates"": [2.494188055346114, 48.839341938245695], ""type"": ""Point""}",593,Nogent-le-Perreux,46552,Nogent - Le Perreux,RER E,RER,48.839341938245695, 2.494188055346114,Banlieue,Le Perreux-sur-Marne
"48.77163431277776, 2.146972741512856","{""coordinates"": [2.146972741512856, 48.77163431277776], ""type"": ""Point""}",638,Petit-Jouy-les-Loges,57674,Petit Jouy Les Loges,RER C,RER,48.77163431277776, 2.146972741512856,Banlieue,Jouy-en-Josas
"48.6140152408775, 2.8882528940730743","{""coordinates"": [2.888252894073074, 48.6140152408775], ""type"": ""Point""}",569,Mormant,47184,Mormant,TRAIN P,TRAIN,48.6140152408775, 2.8882528940730743,Banlieue,Mormant
"48.813798481192784, 3.0429382660462956","{""coordinates"": [3.042938266046296, 48.813798481192784], ""type"": ""Point""}",572,Mouroux,47943,Mouroux,TRAIN P,TRAIN,48.813798481192784, 3.0429382660462956,Banlieue,Mouroux
"48.697505669868114, 2.181054439041218","{""coordinates"": [2.181054439041218, 48.697505669868114], ""type"": ""Point""}",612,Orsay-Ville,43086,Orsay Ville,RER B,RER,48.697505669868114, 2.181054439041218,Banlieue,Orsay
"48.83191618338393, 1.9444017580668451","{""coordinates"": [1.944401758066845, 48.83191618338393], ""type"": ""Point""}",657,Plaisir-Grignon,47885,Plaisir - Grignon,TRAIN N,TRAIN,48.83191618338393, 1.9444017580668451,Banlieue,Plaisir
"48.93326540519439, 2.0410722896759257","{""coordinates"": [2.041072289675926, 48.93326540519439], ""type"": ""Point""}",661,Poissy,47874,Poissy,TRAIN J,TRAIN,48.93326540519439, 2.0410722896759257,Banlieue,Poissy
"49.04664576170749, 2.0951950672259683","{""coordinates"": [2.095195067225968, 49.04664576170749], ""type"": ""Point""}",675,Pontoise,44411,Pontoise,TRAIN H,TRAIN,49.04664576170749, 2.0951950672259683,Banlieue,Pontoise
"49.04664576170749, 2.0951950672259683","{""coordinates"": [2.095195067225968, 49.04664576170749], ""type"": ""Point""}",676,Pontoise,44411,Pontoise,RER C,RER,49.04664576170749, 2.0951950672259683,Banlieue,Pontoise
"49.04664576170749, 2.0951950672259683","{""coordinates"": [2.095195067225968, 49.04664576170749], ""type"": ""Point""}",677,Pontoise,44411,Pontoise,TRAIN J,TRAIN,49.04664576170749, 2.0951950672259683,Banlieue,Pontoise
"48.796528180240905, 2.1523786602533717","{""coordinates"": [2.152378660253372, 48.796528180240905], ""type"": ""Point""}",679,Porchefontaine,43183,Porchefontaine,RER C,RER,48.796528180240905, 2.1523786602533717,Banlieue,Versailles
"48.78739023735681, 2.044621988534177","{""coordinates"": [2.044621988534177, 48.78739023735681], ""type"": ""Point""}",835,Saint-Quentin-en-Yvelines,461504,Saint-Quentin en Yvelines - Montigny-le-Bretonneux,RER C,RER,48.78739023735681, 2.044621988534177,Banlieue,Montigny-le-Bretonneux
"48.67644665606244, 2.3524814010489967","{""coordinates"": [2.352481401048997, 48.67644665606244], ""type"": ""Point""}",788,Savigny-sur-Orge,43192,Savigny-sur-Orge,RER C,RER,48.67644665606244, 2.3524814010489967,Banlieue,Savigny-sur-Orge
"48.535806508307815, 2.069381524887471","{""coordinates"": [2.069381524887471, 48.535806508307815], ""type"": ""Point""}",793,Sermaise,47950,Sermaise,RER C,RER,48.535806508307815, 2.069381524887471,Banlieue,Sermaise
"49.11902264537138, 2.3997248525189114","{""coordinates"": [2.399724852518911, 49.11902264537138], ""type"": ""Point""}",794,Seugy,47951,Seugy,TRAIN H,TRAIN,49.11902264537138, 2.3997248525189114,Banlieue,Seugy
"48.93628018471764, 2.5347149747425233","{""coordinates"": [2.534714974742523, 48.93628018471764], ""type"": ""Point""}",796,Sevran-Livry,43194,Sevran - Livry,RER B,RER,48.93628018471764, 2.5347149747425233,Banlieue,Sevran
"48.82942901439413, 1.6690101613655632","{""coordinates"": [1.669010161365563, 48.82942901439413], ""type"": ""Point""}",846,Tacoignières-Richebourg,47959,Tacoignières - Richebourg,TRAIN N,TRAIN,48.82942901439413, 1.6690101613655632,Banlieue,Tacoignières
"49.02496079387932, 2.2223226926705837","{""coordinates"": [2.222322692670584, 49.02496079387932], ""type"": ""Point""}",847,Taverny,43206,Taverny,TRAIN H,TRAIN,49.02496079387932, 2.2223226926705837,Banlieue,Taverny
"48.8833838128909, 2.2336919201504086","{""coordinates"": [2.233691920150409, 48.8833838128909], ""type"": ""Point""}",712,Puteaux,43184,Puteaux,TRAIN L,TRAIN,48.8833838128909, 2.2336919201504086,Banlieue,Puteaux
"48.8875736177044, 2.1725794477184146","{""coordinates"": [2.172579447718415, 48.8875736177044], ""type"": ""Point""}",753,Rueil-Malmaison,58875,Rueil-Malmaison,RER A,RER,48.8875736177044, 2.1725794477184146,Banlieue,Rueil-Malmaison
"48.79870763435358, 2.0718470059294005","{""coordinates"": [2.071847005929401, 48.79870763435358], ""type"": ""Point""}",927,Saint-Cyr,46990,Saint-Cyr,TRAIN U,TRAIN,48.79870763435358, 2.0718470059294005,Banlieue,Saint-Cyr-l'École
"48.93445554412717, 2.3456043781962896","{""coordinates"": [2.34560437819629, 48.93445554412717], ""type"": ""Point""}",816,Saint-Denis,412743,Saint-Denis,RER D,RER,48.93445554412717, 2.3456043781962896,Banlieue,Saint-Denis
"48.65281140050726, 2.312736251060262","{""coordinates"": [2.312736251060262, 48.65281140050726], ""type"": ""Point""}",818,Sainte-Geneviève-des-Bois,43188,Sainte-Geneviève-des-Bois,RER C,RER,48.65281140050726, 2.312736251060262,Banlieue,Sainte-Geneviève-des-Bois
"48.80020939740985, 2.40271281718153","{""coordinates"": [2.40271281718153, 48.80020939740985], ""type"": ""Point""}",918,Vitry-sur-Seine,46375,Vitry-sur-Seine,RER C,RER,48.80020939740985, 2.40271281718153,Banlieue,Vitry-sur-Seine
"48.5151514532052, 2.5993042659192627","{""coordinates"": [2.599304265919263, 48.5151514532052], ""type"": ""Point""}",921,Vosves,47967,Vosves,RER D,RER,48.5151514532052, 2.5993042659192627,Banlieue,Dammarie-les-Lys
