Identifiant station,Nom station,Station en fonctionnement,CapacitÃ© de la station,Nombre bornettes libres,Nombre total vÃ©los disponibles,VÃ©los mÃ©caniques disponibles,VÃ©los Ã©lectriques disponibles,Borne de paiement disponible,Retour vÃ©lib possible,Actualisation de la donnÃ©e,CoordonnÃ©es gÃ©ographiques,Nom communes Ã©quipÃ©es,Code INSEE communes Ã©quipÃ©es,station_velib_plus,geometry,Latitude,Longitude,arrondissement,quartier
8010,LiÃ¨ge - Moscou,OUI,17,14,2,1,1,OUI,OUI,2023-06-05T08:27:37+02:00,"48.8795431, 2.3264628",Paris,,FALSE,,48.8795431,2.3264628,8ème Ardt,Europe
9028,Moncey - Blanche,OUI,17,10,6,2,4,OUI,OUI,2023-06-05T08:30:46+02:00,"48.88006587474148, 2.3310810327529907",Paris,,FALSE,,48.88006587474148,2.3310810327529907,9ème Ardt,Saint-Georges
19101,Square Simon Bolivar,OUI,24,22,1,0,1,OUI,OUI,2023-06-05T08:30:44+02:00,"48.8750898883217, 2.3826304078102116",Paris,,FALSE,,48.8750898883217,2.3826304078102116,19ème Ardt,Combat
10107,Gare du Nord - HÃ´pital LariboisiÃ¨re,OUI,49,46,2,0,2,OUI,OUI,2023-06-05T08:28:25+02:00,"48.881949, 2.352339",Paris,,FALSE,,48.881949,2.352339,10ème Ardt,Saint-Vincent-de-Paul
41302,Charles de Gaulle - BeautÃ©,OUI,49,29,18,4,14,OUI,OUI,2023-06-05T08:30:44+02:00,"48.83649602312711, 2.479562651149885",Nogent-sur-Marne,,FALSE,,48.83649602312711,2.479562651149885,Banlieue,Banlieue
17043,Belidor - Gouvion-Saint-Cyr,OUI,39,38,1,1,0,OUI,OUI,2023-06-05T08:30:52+02:00,"48.88022154052015, 2.2854680567979813",Paris,,FALSE,,48.88022154052015,2.2854680567979813,17ème Ardt,Ternes
21212,Marne - Germain Dardan,OUI,22,19,3,2,1,OUI,OUI,2023-06-05T08:21:00+02:00,"48.81154270401601, 2.303070724010468",Montrouge,,FALSE,,48.81154270401601,2.303070724010468,Banlieue,Banlieue
19026,Place de Rhin et Danube,OUI,17,16,1,0,1,OUI,OUI,2023-06-05T08:29:23+02:00,"48.88192765861766, 2.392586767673493",Paris,,FALSE,,48.88192765861766,2.392586767673493,19ème Ardt,Amérique
5018,MutualitÃ©,OUI,37,7,30,27,3,OUI,OUI,2023-06-05T08:30:57+02:00,"48.848225572724, 2.3502873256803",Paris,,FALSE,,48.848225572724,2.3502873256803,5ème Ardt,Saint-Victor
16039,Exelmans - Versailles,OUI,49,44,3,0,3,OUI,OUI,2023-06-05T08:30:15+02:00,"48.84097491091973, 2.264390252530575",Paris,,FALSE,,48.84097491091973,2.264390252530575,16ème Ardt,Auteuil
33017,Anatole France - President Roosevelt,OUI,29,14,15,11,4,OUI,OUI,2023-06-05T08:29:15+02:00,"48.9155156, 2.3814103",Aubervilliers,,FALSE,,48.9155156,2.3814103,Banlieue,Banlieue
11023,Saint-Maur - Roquette,OUI,46,40,3,2,1,OUI,OUI,2023-06-05T08:30:35+02:00,"48.858688774062955, 2.383553994571467",Paris,,FALSE,,48.858688774062955,2.383553994571467,11ème Ardt,Roquette
18011,Pajol - Place Herbert,OUI,39,37,2,2,0,OUI,OUI,2023-06-05T08:30:41+02:00,"48.8927825, 2.3635598",Paris,,FALSE,,48.8927825,2.3635598,18ème Ardt,La Chapelle
31009,Place Du GÃ©nÃ©ral De Gaulle,OUI,26,22,2,2,0,OUI,OUI,2023-06-05T08:29:10+02:00,"48.8687591, 2.4329931",Montreuil,,FALSE,,48.8687591,2.4329931,Banlieue,Banlieue
43008,Fontenay - LibÃ©ration,OUI,25,24,0,0,0,OUI,OUI,2023-06-05T08:24:51+02:00,"48.84780306364685, 2.445141971111298",Vincennes,,FALSE,,48.84780306364685,2.445141971111298,Banlieue,Banlieue
17030,Pereire - Rennequin,OUI,23,18,4,2,2,OUI,OUI,2023-06-05T08:29:25+02:00,"48.88364782887555, 2.2952447086572647",Paris,,FALSE,,48.88364782887555,2.2952447086572647,17ème Ardt,Ternes
33102,Gabriel PÃ©ri - Francisco Ferrer,OUI,18,15,3,2,1,OUI,OUI,2023-06-05T08:30:56+02:00,"48.88633710236977, 2.407338917255402",Le PrÃ©-Saint-Gervais,,FALSE,,48.88633710236977,2.407338917255402,Banlieue,Banlieue
8034,Berri - Haussmann,OUI,35,3,30,21,9,OUI,OUI,2023-06-05T08:26:05+02:00,"48.874746047357135, 2.3082953318953514",Paris,,FALSE,,48.874746047357135,2.3082953318953514,8ème Ardt,Faubourg-du-Roule
8045,Place de la Reine Astrid,OUI,58,5,51,22,29,OUI,OUI,2023-06-05T08:30:56+02:00,"48.86492098253841, 2.302549182385926",Paris,,FALSE,,48.86492098253841,2.302549182385926,8ème Ardt,Champs-Elysées
